# Frame_ID, Timestamp(ns), X(m), Y(m), Z(m), Qw, Qx, Qy, Qz
182, 5715827465, -0.008767, 0.047649, -0.058164, 0.999984, 0.004766, -0.001506, -0.002778
183, 5748824596, -0.007365, 0.048703, -0.058117, 0.999983, 0.004823, -0.001591, -0.002843
184, 5782255172, -0.005585, 0.050247, -0.057539, 0.999982, 0.004945, -0.001755, -0.002940
185, 5815565824, -0.003499, 0.051935, -0.057038, 0.999981, 0.005089, -0.001898, -0.002970
186, 5848904132, -0.000500, 0.053784, -0.056054, 0.999979, 0.005231, -0.002082, -0.003049
187, 5882595539, 0.002576, 0.055861, -0.054224, 0.999978, 0.005393, -0.002250, -0.003129
188, 5915729761, 0.005047, 0.057701, -0.051813, 0.999977, 0.005536, -0.002358, -0.003195
189, 5948954343, 0.007147, 0.059204, -0.049470, 0.999976, 0.005676, -0.002432, -0.003187
190, 5982207536, 0.008738, 0.060292, -0.046866, 0.999975, 0.005737, -0.002441, -0.003268
191, 6015771150, 0.009209, 0.061872, -0.042567, 0.999975, 0.005865, -0.002392, -0.003247
192, 6049428462, 0.012389, 0.063066, -0.041520, 0.999973, 0.005979, -0.002624, -0.003298
193, 6082797050, 0.014487, 0.064153, -0.039069, 0.999972, 0.006044, -0.002763, -0.003351
194, 6115923643, 0.016433, 0.065353, -0.036160, 0.999972, 0.006120, -0.002812, -0.003342
195, 6149471282, 0.017222, 0.067073, -0.032684, 0.999971, 0.006251, -0.002735, -0.003376
196, 6183180093, 0.017470, 0.069092, -0.028374, 0.999970, 0.006396, -0.002630, -0.003384
197, 6215738296, 0.017188, 0.071110, -0.023515, 0.999970, 0.006534, -0.002482, -0.003455
198, 6249355554, 0.016348, 0.072995, -0.018016, 0.999969, 0.006633, -0.002264, -0.003604
199, 6282572269, 0.014996, 0.074639, -0.012616, 0.999969, 0.006688, -0.001934, -0.003671
200, 6316020727, 0.013248, 0.076203, -0.006973, 0.999969, 0.006793, -0.001662, -0.003710
201, 6349809408, 0.011184, 0.077447, -0.001279, 0.999969, 0.006808, -0.001300, -0.003783
202, 6383195638, 0.008907, 0.078578, 0.004065, 0.999969, 0.006866, -0.000937, -0.003867
203, 6416678428, 0.007022, 0.079516, 0.008590, 0.999969, 0.006898, -0.000575, -0.003838
204, 6450045824, 0.005191, 0.080579, 0.012922, 0.999969, 0.006943, -0.000215, -0.003805
205, 6483622312, 0.003561, 0.081389, 0.016574, 0.999969, 0.006933, -0.000004, -0.003825
206, 6516900777, 0.002369, 0.081909, 0.019374, 0.999968, 0.006949, 0.000185, -0.003832
207, 6550257921, 0.001474, 0.082294, 0.022009, 0.999969, 0.006941, 0.000383, -0.003795
208, 6583826303, 0.000826, 0.082606, 0.023910, 0.999969, 0.006934, 0.000512, -0.003752
209, 6617118597, 0.000835, 0.082489, 0.024508, 0.999969, 0.006907, 0.000520, -0.003747
210, 6650492906, 0.000680, 0.082465, 0.025203, 0.999969, 0.006886, 0.000567, -0.003809
211, 6684029579, 0.000629, 0.082345, 0.025557, 0.999969, 0.006873, 0.000579, -0.003810
212, 6717672824, 0.000388, 0.082207, 0.025834, 0.999969, 0.006866, 0.000610, -0.003791
213, 6750819444, -0.000028, 0.082069, 0.026130, 0.999969, 0.006870, 0.000712, -0.003728
214, 6784340381, -0.000447, 0.081605, 0.026043, 0.999970, 0.006806, 0.000737, -0.003737
215, 6817639350, -0.000774, 0.081121, 0.025914, 0.999970, 0.006726, 0.000717, -0.003806
216, 6851675271, -0.001077, 0.080801, 0.025967, 0.999969, 0.006861, 0.000717, -0.003856
217, 6884783744, -0.001246, 0.080278, 0.025906, 0.999967, 0.007059, 0.000677, -0.003902
218, 6917796611, -0.001601, 0.079650, 0.025978, 0.999962, 0.007638, 0.000738, -0.004066
219, 6951426267, -0.001795, 0.078846, 0.026192, 0.999952, 0.008694, 0.001285, -0.004365
220, 6984872579, -0.001672, 0.077489, 0.025848, 0.999902, 0.012614, 0.003796, -0.004793
221, 7017974376, -0.001403, 0.076674, 0.026186, 0.999894, 0.012431, 0.006406, -0.004100
222, 7051768064, -0.001325, 0.076368, 0.026522, 0.999885, 0.010718, 0.010058, -0.003784
223, 7084889888, -0.001009, 0.076073, 0.026367, 0.999864, 0.008471, 0.013709, -0.003638
224, 7118118286, -0.000911, 0.075642, 0.026610, 0.999878, 0.006529, 0.013533, -0.004291
225, 7151801347, -0.000863, 0.074646, 0.027053, 0.999913, 0.003695, 0.010467, -0.007192
226, 7184854984, -0.000636, 0.073286, 0.027693, 0.999900, -0.001758, 0.006682, -0.012376
227, 7218960046, -0.000431, 0.071628, 0.029044, 0.999772, -0.009318, 0.001309, -0.019152
228, 7251796245, -0.000064, 0.069633, 0.030673, 0.999551, -0.017237, -0.003365, -0.024286
229, 7285221576, 0.000825, 0.067452, 0.031690, 0.999397, -0.022613, -0.005988, -0.025676
230, 7318942785, 0.002086, 0.065650, 0.032270, 0.999461, -0.022518, -0.005316, -0.023279
231, 7351843118, 0.003334, 0.064240, 0.031916, 0.999679, -0.016413, -0.001212, -0.019262
232, 7385341882, 0.004751, 0.062842, 0.031315, 0.999850, -0.009882, 0.003646, -0.013738
233, 7418776273, 0.006028, 0.061575, 0.030810, 0.999926, -0.004387, 0.008275, -0.007709
234, 7452105522, 0.006815, 0.060537, 0.030642, 0.999925, 0.001114, 0.011797, -0.002949
235, 7485656261, 0.007447, 0.059479, 0.030427, 0.999854, 0.006306, 0.015861, 0.000184
236, 7519273281, 0.008537, 0.058247, 0.030287, 0.999723, 0.010857, 0.020587, 0.003530
